,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
B:min7,14,54,58,0,123,0,53,106,4,70,0,92
Ab:aug,0,0,9,0,0,0,0,0,0,0,0,0
D:sus4,13,0,53,0,43,16,5,106,0,25,24,33
G:sus2,33,2,61,2,57,23,4,44,0,58,18,51
Ab:maj6,8,15,0,6,0,19,0,1,6,0,15,0
Bb:maj6,10,0,8,7,1,9,0,15,1,6,8,0
Ab:maj7,43,3,2,31,0,40,0,13,12,4,63,4
F:min,513,366,86,669,29,712,34,371,405,0,988,15
Eb:maj6,0,0,0,9,0,4,0,0,6,0,15,0
Eb:maj7,50,0,30,19,5,28,0,46,0,8,29,2
F#:min,1,566,437,132,504,10,741,59,216,426,3,1179
F:min7,82,96,21,90,0,63,6,26,46,2,111,3
Ab:sus2,14,18,0,72,0,30,13,19,43,0,42,4
Eb:min7,0,100,0,85,0,62,28,0,88,0,48,36
C#:sus4,0,48,0,11,0,10,42,0,32,9,37,18
C:sus2,96,0,66,12,66,45,0,73,0,50,16,56
D:sus2,9,14,64,0,57,7,42,31,4,48,6,58
F#:hdim7,0,0,4,0,2,0,4,7,0,3,0,11
C#:dim,8,1,0,5,34,12,1,10,0,1,0,14
G:hdim7,0,0,0,3,0,0,2,0,3,0,4,0
D:dim,12,1,0,10,0,5,4,4,12,0,11,0
C:min7,96,15,30,38,0,78,0,31,72,2,84,0
F:7,17,11,24,3,0,7,8,0,1,6,36,0
F:sus4,33,16,22,24,0,14,2,12,7,9,38,1
F#:min7,1,18,18,8,33,0,26,10,27,56,0,41
E:maj7,0,18,0,14,33,0,22,0,22,3,20,20
E:sus2,0,9,17,3,26,0,20,13,25,28,2,34
G:maj6,7,0,2,0,12,3,0,16,0,0,0,5
F:maj7,52,1,48,0,25,31,0,27,0,35,30,3
B:dim,20,0,6,0,19,13,0,16,0,33,0,9
E:7,4,8,1,0,22,0,5,4,8,39,0,33
C:maj7,70,0,41,0,48,15,2,47,0,41,0,33
C#:7,5,21,0,8,8,9,18,0,22,12,25,14
E:sus4,16,15,37,6,57,8,20,25,5,71,0,28
C:sus4,40,16,12,7,7,65,10,29,3,20,29,1
Eb:7,30,7,5,46,7,10,6,27,16,0,25,9
Eb:aug,0,0,0,0,5,0,0,2,2,0,0,0
Ab:min7,0,75,0,74,43,10,75,3,84,6,28,40
F:sus2,57,2,38,13,19,37,0,67,23,45,16,7
F:maj6,15,0,0,0,0,5,0,14,0,0,7,0
Bb:maj7,44,0,71,0,14,25,0,39,0,96,30,0
Bb:sus2,46,16,6,30,1,46,1,34,9,21,46,0
C:7,27,6,9,0,6,25,0,1,19,14,4,4
C:min6,0,0,0,0,0,0,0,0,0,1,0,0
C#:sus2,19,45,0,59,29,27,24,0,68,0,66,12
B:maj6,0,14,0,5,0,0,9,0,6,0,2,1
B:sus4,13,12,1,0,27,0,3,6,24,8,0,35
A:sus2,19,20,36,6,43,1,38,20,12,43,0,46
D:maj7,0,18,47,0,25,0,28,2,3,5,0,35
A:maj7,2,46,0,15,40,0,76,0,5,25,0,24
A:maj6,0,1,2,0,7,0,2,2,6,0,0,12
C:aug,0,2,0,0,5,1,6,1,2,0,6,0
Ab:sus4,0,77,0,21,22,53,40,0,17,0,10,21
Bb:hdim7,0,6,0,0,0,0,5,0,0,0,0,30
A:7,2,10,50,0,7,11,27,13,3,21,0,7
C#:hdim7,0,0,0,0,0,0,1,5,0,0,0,3
G:7,23,0,11,3,20,7,0,50,0,19,0,14
Eb:dim,0,2,8,0,11,16,3,0,0,0,0,9
A:sus4,19,12,50,2,47,10,19,26,0,22,0,14
C:maj6,9,0,8,0,3,0,1,7,0,5,0,6
A:hdim7,6,0,0,0,1,0,0,4,0,13,0,0
A:dim,9,1,6,16,2,1,0,1,1,0,1,1
D:maj6,2,0,7,0,14,0,3,8,0,2,0,7
C#:maj7,40,23,0,24,0,20,7,2,20,0,22,0
C#:maj6,4,1,0,12,0,1,12,0,9,0,0,2
E:dim,14,0,0,0,0,18,0,5,3,9,3,4
E:dim7,3,0,0,1,0,0,0,4,0,0,0,0
A:min6,0,0,0,0,0,0,0,0,0,0,0,0
F:dim7,0,0,0,0,0,0,0,0,0,0,0,0
F:hdim7,0,0,0,1,0,0,1,0,2,0,0,0
B:hdim7,3,0,2,0,6,1,0,4,0,0,2,11
E:aug,0,0,0,0,0,0,0,0,0,0,0,0
A:dim7,0,0,0,0,0,0,0,0,0,0,0,0
F#:dim,7,0,10,0,11,11,14,9,0,0,0,9
G:dim,0,4,0,2,0,8,14,6,1,0,4,2
F#:maj6,0,6,0,8,0,2,11,0,14,0,7,5
E:maj6,0,3,0,0,6,0,0,0,4,5,0,15
Ab:hdim7,0,0,0,0,0,0,2,0,0,3,0,4
C#:aug,3,0,4,1,0,0,0,0,2,6,0,0
C:dim,11,21,0,2,0,12,6,0,13,0,16,2
Ab:dim,4,3,5,0,16,10,2,0,0,0,0,10
A:minmaj7,0,0,0,0,0,0,0,0,0,0,0,2
C:dim7,0,0,0,0,0,0,0,0,2,0,0,0
Bb:dim,9,8,0,7,11,1,1,0,25,4,0,26
C:minmaj7,0,0,0,0,0,0,0,0,0,0,0,0
Ab:dim7,0,0,0,0,0,0,0,0,0,0,8,0
Eb:min6,0,6,0,0,0,0,0,0,0,0,0,0
Ab:minmaj7,0,0,0,0,0,0,0,0,0,0,0,0
E:hdim7,4,0,8,0,6,0,0,3,0,11,0,0
C#:minmaj7,0,0,0,4,0,0,0,0,0,0,0,0
Eb:dim7,0,0,0,0,0,0,0,6,0,0,0,0
G:aug,0,0,0,0,6,4,0,0,0,0,0,4
D:aug,1,0,0,3,0,7,0,12,0,0,0,0
F:aug,9,1,0,0,6,0,0,0,0,0,0,0
A:aug,0,6,0,0,0,0,0,0,0,0,1,0
Eb:minmaj7,0,0,0,0,0,0,0,0,0,0,0,1
F:min6,4,0,4,0,0,0,0,0,0,0,0,0
Bb:minmaj7,0,0,0,0,0,0,0,0,0,2,0,1
B:min6,0,0,0,0,0,0,0,0,3,0,0,0
D:dim7,0,0,0,0,0,3,0,0,2,0,0,0
E:min6,0,0,0,0,0,0,2,0,0,0,0,0
C#:min6,0,0,0,0,0,0,0,0,0,0,0,0
Eb:hdim7,0,2,0,8,0,0,9,0,0,0,0,0
D:min6,0,0,0,0,0,0,0,0,0,4,0,2
C:hdim7,0,8,0,0,0,3,0,0,0,0,5,0
F:minmaj7,0,0,0,0,0,0,0,4,0,0,0,0
D:hdim7,0,0,0,0,0,4,0,7,0,0,0,0
Bb:min6,0,0,0,0,0,0,0,0,0,0,0,0
C#:dim7,0,0,2,1,0,11,0,2,0,0,0,0
F#:minmaj7,0,1,0,0,2,0,0,1,0,0,0,0
G:minmaj7,0,0,0,0,0,2,0,1,0,0,0,0
F#:aug,0,0,0,0,0,0,0,0,0,0,7,0
F#:dim7,0,0,0,1,0,4,0,0,0,0,0,0
Ab:min6,0,0,0,0,0,3,0,0,4,0,1,0
F#:min6,0,0,0,0,0,0,0,0,0,0,0,0
B:aug,0,0,0,0,0,0,0,0,0,0,0,0
G:dim7,0,0,0,0,0,0,0,0,0,0,0,0
E:minmaj7,0,0,0,0,0,0,0,0,0,0,0,0
Bb:aug,0,0,6,0,0,0,0,0,0,0,0,0
